Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Faulhaber M.E.; Lee J.E.; Gentile D.A.,"Faulhaber, Manuela Ellen (57201969402); Lee, Jeong Eun (55601493500); Gentile, Douglas A. (7004297104)",57201969402; 55601493500; 7004297104,The Effect of Self-Monitoring Limited Social Media Use on Psychological Well-Being,2023,"Technology, Mind, and Behavior",4,2,,,,,7,10.1037/tmb0000111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175708666&doi=10.1037%2ftmb0000111&partnerID=40&md5=958d959bbe4f1015648ec895c5cd111c,"An experimental study was conducted to investigate the effect of self-monitoring limited social media usage on psychological well-being. After completing pretest measures, 230 undergraduate students from a large Midwestern university were randomly assigned to one of two experimental conditions: either limit their social media usage to 30 min a day or to use social media as usual. After 2 weeks of limiting, the self-monitored group showed significant improvements in their psychological well-being. Anxiety, depression, loneliness, fear of missing out, and negative affect decreased while positive affect increased. These results suggest that limiting social media usage may improve psychological well-being on multiple dimensions. This study is one of the first to experimentally investigate feasible alternatives to social media use abstinence or experimenter-managed limitation. Future studies could investigate motivations and mechanisms of social media use through qualitative explorations. © 2023 The Author(s)",human–computer interaction; media effects; social media; well-being,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85175708666
Sewall C.J.R.; Goldstein T.R.; Wright A.G.C.; Rosen D.,"Sewall, Craig J. R. (57204622883); Goldstein, Tina R. (10139501700); Wright, Aidan G. C. (57198696716); Rosen, Daniel (36244164100)",57204622883; 10139501700; 57198696716; 36244164100,"Does Objectively Measured Social-Media or Smartphone Use Predict Depression, Anxiety, or Social Isolation Among Young Adults?",2022,Clinical Psychological Science,10,5,,997,1014,17,23,10.1177/21677026221078309,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127254549&doi=10.1177%2f21677026221078309&partnerID=40&md5=4667da3016d2769f97bde43c63b280aa,"Despite a plethora of research, the link between digital-technology use and psychological distress among young adults remains inconclusive. Findings in this area are typically undermined by methodological limitations related to measurement, study design, and statistical analysis. Addressing these limitations, we examined the prospective, within-persons associations between three aspects of objectively measured digital-technology use (duration and frequency of smartphone use, duration of social-media use) and three aspects of psychological distress (depression, anxiety, and social isolation) among a sample of young adults (N = 384). Across 81 different model specifications, we found that most within-persons prospective effects between digital-technology use and psychological distress were statistically nonsignificant, and all were very small—even the largest effects were unlikely to register a meaningful impact on a person’s psychological distress. In post hoc subgroup analyses, we found scant evidence for the claim that digital-technology use is more harmful for women and/or younger people. © The Author(s) 2022.",anxiety; depression; human-computer interaction; loneliness; longitudinal methods; open data,,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85127254549
Domoff S.E.; Armstrong S.B.; Rollings H.; Mancuso A.; Pacheco M.B.; Fridson R.; Janney C.A.,"Domoff, Sarah E. (36801060800); Armstrong, Stacey B. (57957941500); Rollings, Heide (57220591137); Mancuso, Amy (57220588916); Pacheco, Mary B. (59380969400); Fridson, Russell (59380508300); Janney, Carol A. (56769338600)",36801060800; 57957941500; 57220591137; 57220588916; 59380969400; 59380508300; 56769338600,Problematic and Harmful Social Media Use among Adolescents Receiving Intensive Psychiatric Care,2024,International Journal of Environmental Research and Public Health,21,10,1328,,,,0,10.3390/ijerph21101328,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207299075&doi=10.3390%2fijerph21101328&partnerID=40&md5=731d4857eb7cf26f686ec9850e56313b,"Although research has shown both positive and negative mental health correlates of social media use, few studies focus on adolescents who are receiving intensive psychiatric care. The purpose of this study was to describe problematic media use, experiences of cybervictimization and sextortion, and correlates with adolescents’ health in a sample of adolescents (N = 97; 53.6% female) in a partial psychiatric hospitalization program. Approximately one-quarter of participants reported being cybervictimized at least once over the past month and 17.5% of participants reported ever experiencing sextortion. Greater problematic media use was associated with lower physical activity and greater feelings of loneliness. In a subsample of 51 participants, questions were asked regarding who they had gone to for support regarding experiences of online harm, and barriers to disclosing such experiences. The majority of youth who experienced cybervictimization indicated going to a friend for support but rarely endorsed telling a mental health clinician about it. Even fewer disclosed their experience of sextortion, with nearly half reporting not telling anyone (44.4%). Given the rates of online harm experienced by youth in acute psychiatric treatment, screening for and conducting brief interventions on problematic or risky social media use is recommended. © 2024 by the authors.",adolescent; cyberbullying; cybervictimization; mental health; problematic media; sextortion; social media,Adolescent; Adolescent Behavior; Female; Humans; Loneliness; Male; Mental Disorders; Social Media; antidepressant agent; adolescence; health care; mental health; public health; social media; adolescent; anxiety; Article; attention deficit hyperactivity disorder; binge eating disorder; caloric intake; cyberbullying; depression; drug therapy; DSM-5; female; game addiction; hospitalization; human; human experiment; image-based sexual abuse; intensive psychiatric care; Likert scale; loneliness; male; mental health; mental health care; normal human; physical activity; psychoeducation; psychosis; sleep apnea syndromes; social media; social media addiction; sociodemographics; suicidal ideation; UCLA Loneliness Scale; adolescent behavior; mental disease; psychology; social media; therapy,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85207299075
Zhao J.; Zhou Z.; Sun B.; Zhang X.; Zhang L.; Fu S.,"Zhao, Jin (57646429800); Zhou, Zinuan (58025273100); Sun, Bo (57219294372); Zhang, Xinyuan (57219297873); Zhang, Lin (58027114600); Fu, Shimin (7402732622)",57646429800; 58025273100; 57219294372; 57219297873; 58027114600; 7402732622,Attentional Bias Is Associated with Negative Emotions in Problematic Users of Social Media as Measured by a Dot-Probe Task,2022,International Journal of Environmental Research and Public Health,19,24,16938,,,,13,10.3390/ijerph192416938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144575962&doi=10.3390%2fijerph192416938&partnerID=40&md5=f7b4881d21469ef0c13f86b2c7901eb1,"Objective: Social media (SM) have flourished and are affecting human lives on an unprecedented scale. Problematic social media use (PSMU) is a recently emerging problematic behavior that affects both physical and mental health. The purpose of this study was to investigate whether problematic users of SM display attentional bias (AB) toward SM-related cues, as well as the relationships between AB, the severity of PSMU, and negative emotions. Method: 1000 college students were recruited through classes and online forums and then tested using the Bergen Social Media Addiction Scale (BSMAS). Eventually, 60 participants, identified by the cut-off point for BSMAS, consented to participate in the study and were divided into two groups (i.e., a problematic use group and a typical use group). The severity of PSMU and negative emotions (i.e., anxiety, depression, social fear, and loneliness) were evaluated by self-report questionnaires. AB was assessed by an addiction Stroop task and a dot-probe task (DPT). Results: PSMU was found to be positively associated with anxiety (r = 0.28, p < 0.05), depression (r = 0.35, p < 0.01), and social fear (r = 0.38, p < 0.01), but not with loneliness (r = 0.19, p = 0.15). Participants with a tendency toward PSMU displayed AB toward SM-related cues in the DPT [F (1, 58) = 26.77, p < 0.001, (Formula presented.) = 0.32], but not in the Stroop task [F (1, 58) = 0.61, p = 0.44, (Formula presented.) = 0.01]. Moreover, AB toward SM-related stimuli was found to be positively correlated with the severity of PSMU (r = −0.51, p < 0.001), anxiety (r = −0.37, p < 0.01), depression (r = −0.51, p < 0.001), and social fear (r = −0.30, p < 0.05) in the DPT. Conclusions: Problematic users of SM show AB towards SM-related cues in the DPT, which is more reliable for assessing AB than the Stroop task. Moreover, it is suggested that in clinical interventions we should work to change the AB towards SM-related stimuli and improve negative emotions to decrease risks of PSMU. © 2022 by the authors.",attentional bias; dot-probe task; negative emotion; problematic social media use; Stroop task,Anxiety; Attentional Bias; Emotions; Fear; Humans; Loneliness; Social Media; mental disorder; mental health; social media; addiction stroop task; adult; anxiety assessment; anxiety disorder; Article; attentional bias; behavior assessment; bergen social media addiction scale; depression; diagnostic procedure; disease assessment; dot probe task; emotion; experimental test; female; Generalized Anxiety Disorder-7; human; human experiment; Likert scale; loneliness; loneliness scale; male; mental health; Patient Health Questionnaire 9; questionnaire; social anxiety; social media; social media addiction; anxiety; emotion; fear,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85144575962
Khan A.; McLeod G.; Hidajat T.; Edwards E.J.,"Khan, Asaduzzaman (55256015300); McLeod, Geoffrey (58249760700); Hidajat, Tarissa (58025462900); Edwards, Elizabeth J (57917402000)",55256015300; 58249760700; 58025462900; 57917402000,"Excessive Smartphone Use is Associated with Depression, Anxiety, Stress, and Sleep Quality of Australian Adults",2023,Journal of Medical Systems,47,1,109,,,,4,10.1007/s10916-023-02005-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174489696&doi=10.1007%2fs10916-023-02005-3&partnerID=40&md5=e48e57a9b88d24c0574e32c22805abef,"Problematic smartphone use has been associated with poorer mental health in different population groups; however, little is known about how levels of smartphone use were associated with mental health outcomes of adults in Australia. Using data from a cross-sectional survey among Australian adults aged 18–59 years (n = 655, Mean = 24.55 [SD = 5.59] years; 66% female), the current study aimed to examine association between problematic smartphone use and different psychological outcomes. Participants completed measures of problematic smartphone use with Mobile Phone Problem Use Scale (MPPUS), mental health outcomes with Depression, Anxiety, and Stress Scale (DASS-21), and Pittsburgh Sleep Quality Index (PSQI), in addition to some socio-demographics. Smartphone use was categorised into three groups: low-moderate, moderate-high, and high-severe. A total of 160 adults (24.4%) reported high-severe smartphone use. Multivariable linear regression analyses showed that smartphone use was inversely associated with psychological outcomes in a dose-dependent manner with high-severe smartphone uses having the most adverse effects. Compared to low-moderate use, average depression score was 3.5 points higher for moderate-high smartphone use (β = 3.51, 95% CI: 1.63–5.40) and 6.9 points higher for high-severe smartphone use (β = 6.91, 95% CI: 4.74–9.07). Similarly, average stress score was 3.4 points higher for moderate-high smartphone use (β = 3.40, 95% CI: 1.75–5.06) and 7.0 points higher for high-severe smartphone use (β = 7.02, 95% CI: 5.11–8.93). Similar association estimates were found for anxiety and sleep quality. Reducing smartphone use has the potential to optimise depression, anxiety, stress, and sleep quality; however, longitudinal research is warranted to establish directionality of the association. © 2023, The Author(s).",Anxiety; Depression; Sleep Quality; Smartphone use; Stress,"Adult; Anxiety; Australia; Cross-Sectional Studies; Depression; Female; Humans; Male; Sleep Quality; Smartphone; adult; anxiety disorder; Article; Australian; clinical outcome; cross-sectional study; depression; Depression, Anxiety and Stress Scale; descriptive research; disease association; disease severity; female; full time employment; health survey; high school graduate; human; internal consistency; linear regression analysis; loneliness; major clinical study; male; mental disease assessment; mental health; mobile phone addiction; mobile phone problem use scale; neuropathology; online monitoring; parttime employment; physiological stress; Pittsburgh Sleep Quality Index; sleep quality; social media; sociodemographics; anxiety; Australia; depression",Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85174489696
Hussain Z.; Ferreira R.; Kuss D.J.,"Hussain, Zaheer (23567987300); Ferreira, Ruben (58546333900); Kuss, Daria J. (41762055600)",23567987300; 58546333900; 41762055600,The feasibility of smartphone interventions to decrease problematic use of social networking sites: A randomised controlled trial,2023,Psychiatry Research Communications,3,3,100132,,,,0,10.1016/j.psycom.2023.100132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168573061&doi=10.1016%2fj.psycom.2023.100132&partnerID=40&md5=0033c776065e53ac48ec0e6d127f1f2b,"Background: With increasing use of social networking sites (SNSs), concerns have been raised regarding problematic social networking site use (PSNSU), including associations with mental health and well-being. Aims: The present study examined the impact of smartphone interventions on PSNSU and explored the differences in overtime variations in PSNSU, psychiatric disorder symptoms, loneliness, and general health. Methods: A six-week longitudinal randomised controlled trial (RCT) was carried out. A total of 110 participants were randomly assigned to a mindfulness group (MG, n ​= ​34) in which participants were presented with a brief mindfulness-based instruction set that tackles addictive urges, SNS intervention group (SIG, n ​= ​39); participants were given brief tips and advice about managing SNS use, or control group (CG, n ​= ​37); general health and lifestyle advice was provided. Results: The results revealed significant main effects of time for the variables of general health, anxiety, PSNSU, and loneliness across all interventions. Anxiety and PSNSU levels decreased over time. Participants psychiatric wellbeing scores also decreased across time. Conclusions: The study demonstrates the feasibility of smartphone interventions to reduce negative health consequences and PSNSU. Smartphone interventions may prove to be effective in clinical settings. © 2023 The Authors",Addiction; Health; Mindfulness; Problematic social networking site use; Smartphone intervention,adult; anxiety; Article; Beck Anxiety Inventory; behavior disorder assessment; Bergen Social Media Addiction Scale; Center for Epidemiological Studies Depression Scale; controlled study; depression; Desires for Alcohol Questionnaire Short Form; female; General Health Questionnaire-12; human; loneliness; longitudinal study; male; mindfulness; psychological well-being; randomized controlled trial; Revised UCLA Loneliness Scale; social media addiction,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85168573061
Reed P.; Fowkes T.; Khela M.,"Reed, Phil (7202010595); Fowkes, Tegan (58094644700); Khela, Mariam (58094367500)",7202010595; 58094644700; 58094367500,Reduction in Social Media Usage Produces Improvements in Physical Health and Wellbeing: An RCT,2023,Journal of Technology in Behavioral Science,8,2,,140,147,7,9,10.1007/s41347-023-00304-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147556172&doi=10.1007%2fs41347-023-00304-7&partnerID=40&md5=ac350c4068219d1fa4365c095ea7f3e3,"Social media usage has increased over recent years and has been associated with negative effects on health and wellbeing. This study explored whether reducing smartphone screentime would improve health and wellbeing. Fifty students completed a battery of questionnaires regarding their health, immune function, loneliness, sleep, anxiety, and depression. They were allocated randomly to groups either using smartphones as normal (No Change), reducing usage by 15 min per day (Reduce), or reducing use by 15 min and substituting another activity during this time (Reduce + Activity). After 3 months, they completed the same questionnaires again. There was unexpectedly low compliance with the Reduce + Activity (leisure substitution) intervention. In contrast, there was a significant reduction in screentime for the Reduce group compared to the other two groups. There was a significant improvement in the Reduce group in general health, immune function, loneliness, and depression compared to the other groups. These findings extend previous results from similar studies and suggest limiting screentime may be beneficial to health and wellbeing. © 2023, The Author(s).",Health; Social media usage reduction; Wellbeing,,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85147556172
de Hesselle L.C.; Montag C.,"de Hesselle, Lea C. (57219866244); Montag, Christian (23009620300)",57219866244; 23009620300,Effects of a 14-day social media abstinence on mental health and well-being: results from an experimental study,2024,BMC Psychology,12,1,141,,,,2,10.1186/s40359-024-01611-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187713263&doi=10.1186%2fs40359-024-01611-1&partnerID=40&md5=47891ad8369f87e394235def6afd74ee,"Background and aim: The study investigated the effects of a 14-day social media abstinence on various mental health factors using an experimental design with follow-up assessment. Hypotheses included positive associations between problematic smartphone use (PSU) and depression, anxiety, fear of missing out (FoMO), and screentime. Decreases in screentime, PSU, depression and anxiety, and increases in body image were assumed for the abstinence group. Additionally, daily changes in FoMO and loneliness were explored. Methods: Participants completed different questionnaires assessing PSU, FoMO, depression and anxiety, loneliness and body image and were randomized into control and social media abstinence groups. Daily questionnaires over 14 days assessed FoMO, loneliness, screentime, and depression and anxiety. 14 days after the abstinence, a follow-up questionnaire was administered. Multilevel models were used to assess changes over time. Results: PSU was positively associated with symptoms of depression, anxiety and FoMO, but not with screentime. Spline models identified decreased screentime and body image dissatisfaction for the intervention group. Depression and anxiety symptoms, PSU, trait and state FoMO, and loneliness, showed a decrease during the overall intervention time but no difference between the investigated groups could be observed (hence this was an overall trend). For appearance evaluation and body area satisfaction, an increase in both groups was seen. Daily changes in both loneliness and FoMO were best modelled using cubic trends, but no group differences were significant. Discussion: Results provide insights into effects of not using social media for 14 days and show that screentime and body image dissatisfaction decrease. The study also suggests areas for future studies to better understand how and why interventions show better results for some individuals. © The Author(s) 2024.",Abstinence; Body image; FoMO; Loneliness; PSU; Social media,Anxiety; Fear; Humans; Mental Health; Social Media; Surveys and Questionnaires; anxiety; controlled study; fear; human; mental health; psychology; questionnaire; randomized controlled trial; social media,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85187713263
Peterson C.C.,"Peterson, Candida C. (7402987890)",7402987890,Conversations that warm the heart: positive and negative links to the mental health challenges of the Covid-19 pandemic,2023,Journal of Public Health (United Kingdom),45,2,,499,504,5,1,10.1093/pubmed/fdac034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163889904&doi=10.1093%2fpubmed%2ffdac034&partnerID=40&md5=3a85623cb76671102ac2fe807a7c1709,"Background: Public-health precautions to curb Covid-19 (e.g. lockdowns) threaten mental health and emotional wellbeing, especially for today's youngest adults. Their overuse of solitary, screen-mediated social media, plus underdeveloped in-person conversation skills, heighten their vulnerability to mental health problems such as loneliness, anxiety and depression. Methods: To explore interconnections among variables such as social media use, empathic skills for in-person conversation and strategies for coping with Covid-19 anxiety, Australian 18- to 26-year-olds took several novel in-depth questionnaire measures that were purpose-built for the present research. Results: Main findings were threefold: (i) Individuals who most frequently and wholeheartedly enjoyed live in-person conversations with friends suffered the most Covid-19 anxiety, worry and stress during periods of pandemic restriction. (ii) Empathic conversational skills were highest among those who conversed in-person (by phone or face-to-face) most often and were lowest for those who rarely did so and/or had little skill with in-person conversation. (iii) Those who gained the greatest relief from anxiety (e.g. about Covid-19) through solitary use of screen-based social media and games had the fewest empathic conversational skills. Conclusions: Implications of these findings for suggesting possible future interventions to help young people cope with public health measures such as lockdowns and to foster community health and wellbeing are discussed.  © 2022 The Author(s). Published by Oxford University Press on behalf of Faculty of Public Health. All rights reserved.",,Adolescent; Adult; Australia; Communicable Disease Control; COVID-19; Humans; Mental Health; Pandemics; adolescent; adult; Australia; communicable disease control; coronavirus disease 2019; human; mental health; pandemic,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85163889904
Ghanayem L.K.; Shannon H.; Khodr L.; McQuaid R.J.; Hellemans K.G.C.,"Ghanayem, Leen K. (58884199600); Shannon, Holly (57349172200); Khodr, Lida (58884622500); McQuaid, Robyn J. (55158032700); Hellemans, Kim G.C. (6603516223)",58884199600; 57349172200; 58884622500; 55158032700; 6603516223,Lonely and scrolling during the COVID-19 pandemic: understanding the problematic social media use and mental health link among university students,2024,Frontiers in Psychiatry,15,,1247807,,,,2,10.3389/fpsyt.2024.1247807,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184904503&doi=10.3389%2ffpsyt.2024.1247807&partnerID=40&md5=fa28ffa0a58f2fd07dc7ca82c921cae2,"Introduction: Undergraduate university students experienced many academic and non-academic stressors during the first year of the coronavirus (COVID-19) pandemic, putting them at a greater risk of negative mental health outcomes. Reports worldwide have shown high incidences of depressive, anxiety, and stress scores among university students at the beginning of the pandemic. Emerging evidence also suggests that to cope with the stress and loneliness of the pandemic, many youth and young adults increased the amount of time they spent on social media platforms. Methods: Undergraduate students participated in an online study aimed to understand the link between time spent on social media, coping through the use of social media and problematic social media use (PSMU) with mental health symptoms, such as stress, depression, anxiety, and loneliness, during the COVID-19 pandemic. Results: While time spent on social media was only weakly associated with stress, depression, anxiety and loneliness scores, PSMU more strongly mapped onto these outcomes. Additionally, students who were coping highly using social media displayed elevated stress, depression, anxiety and loneliness levels in comparison to those reporting low levels of coping with social media. Finally, students who reported high levels of coping using social media displayed higher PSMU scores, with this relationship appearing more pronounced in students who had higher levels of loneliness. Conclusion: These data support evidence that it is not necessarily time spent on social media but rather PSMU that is relevant for mental health symptoms, and that PSMU is exacerbated by loneliness. Moreover, the current results highlight the effects of maladaptive coping on mental health symptoms and PSMU among university students during the COVID-19 pandemic. Copyright © 2024 Ghanayem, Shannon, Khodr, McQuaid and Hellemans.",coping; COVID-19; loneliness; problematic social media use; stress; university students,"adult; agitation; anhedonia; anxiety; Article; coping behavior assesment; coronavirus disease 2019; depression; Depression, Anxiety and Stress Scale; Depression, Anxiety and Stress Scale-21; dysphoria; female; hopelessness; human; irritability; loneliness; major clinical study; male; mental health; pandemic; physiological stress; questionnaire; social media; UCLA Loneliness Scale; university student",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85184904503
